background, person, image, K, BER, SNR
1, 2, 3, 1, 0.05641696055778508, 1
1, 2, 3, 1, 0.0376585998621752, 2
1, 2, 3, 1, 0.022426932587457944, 3
1, 2, 3, 1, 0.012079938384206899, 4
1, 2, 3, 1, 0.005817017309173457, 5
1, 2, 3, 1, 0.0027159593011471888, 6
1, 2, 3, 1, 0.0008411366492358831, 7
1, 2, 3, 2, 0.08158012079938384, 1
1, 2, 3, 2, 0.05453200372937695, 2
1, 2, 3, 2, 0.03321983055656897, 3
1, 2, 3, 2, 0.018636750577648062, 4
1, 2, 3, 2, 0.008958612023186995, 5
1, 2, 3, 2, 0.003526693420892618, 6
1, 2, 3, 2, 0.0011654302971340548, 7
1, 2, 3, 4, 0.06116988933479266, 1
1, 2, 3, 4, 0.03445620008918075, 2
1, 2, 3, 4, 0.013610199035226398, 3
1, 2, 3, 4, 0.005594065426243464, 4
1, 2, 3, 4, 0.0017329441809558555, 5
1, 2, 3, 4, 0.0001317442944586323, 6
1, 2, 3, 4, 0.0, 7
1, 2, 3, 8, 0.07841825773237666, 1
1, 2, 3, 8, 0.04209736916778142, 2
1, 2, 3, 8, 0.018282054400259436, 3
1, 2, 3, 8, 0.006769629899874337, 4
1, 2, 3, 8, 0.0020673720053508452, 5
1, 2, 3, 8, 0.00033442782439498965, 6
1, 2, 3, 8, 0.0, 7
1, 2, 3, 16, 0.08741740646155094, 1
1, 2, 3, 16, 0.035398678503384816, 2
1, 2, 3, 16, 0.012910940856945965, 3
1, 2, 3, 16, 0.0018140175929303984, 4
1, 2, 3, 16, 0.0008208682962422473, 5
1, 2, 3, 16, 0.0, 6
1, 2, 3, 16, 0.0, 7
1, 2, 3, 32, 0.10630751145161944, 1
1, 2, 3, 32, 0.03603713162268434, 2
1, 2, 3, 32, 0.008441769021849285, 3
1, 2, 3, 32, 0.0006891240017836151, 4
1, 2, 3, 32, 0.00018241517694272163, 5
1, 2, 3, 32, 0.0, 6
1, 2, 3, 32, 0.0, 7
1, 2, 3, 64, 0.12768048968340834, 1
1, 2, 3, 64, 0.037810612509627466, 2
1, 2, 3, 64, 0.004975880659937574, 3
1, 2, 3, 64, 0.0005269771778345292, 4
1, 2, 3, 64, 0.0, 5
1, 2, 3, 64, 0.0, 6
1, 2, 3, 64, 0.0, 7
1, 2, 3, 128, 0.13964895212615022, 1
1, 2, 3, 128, 0.03184158255300174, 2
1, 2, 3, 128, 0.001550529004013134, 3
1, 2, 3, 128, 0.00040536705987271476, 4
1, 2, 3, 128, 0.0, 5
1, 2, 3, 128, 0.0, 6
1, 2, 3, 128, 0.0, 7
1, 2, 4, 1, 0.05600223729287562, 1
1, 2, 4, 1, 0.037655270456081476, 2
1, 2, 4, 1, 0.022664242932718077, 3
1, 2, 4, 1, 0.012171106294716726, 4
1, 2, 4, 1, 0.005902025216155119, 5
1, 2, 4, 1, 0.0024528653662401825, 6
1, 2, 4, 1, 0.0007574168589340232, 7
1, 2, 4, 2, 0.08170197394486005, 1
1, 2, 4, 2, 0.05558857116222704, 2
1, 2, 4, 2, 0.03452072991680067, 3
1, 2, 4, 2, 0.0183994033885665, 4
1, 2, 4, 2, 0.009188049127222727, 5
1, 2, 4, 2, 0.003944393949987182, 6
1, 2, 4, 2, 0.001112820154279988, 7
1, 2, 4, 4, 0.060348644806450864, 1
1, 2, 4, 4, 0.033792444475517956, 2
1, 2, 4, 4, 0.016033932275280244, 3
1, 2, 4, 4, 0.005575753338460463, 4
